a,একটি
a bad egg,ফালতু লোক
a bed of roses,পুষ্প শয্যা
a bed of thorns,কণ্টক শয্যা
a bee in one’s bonnet,পাগলাটে ভাব
a bird of passage,ভ্রাম্যমান ব্যক্তি
a bit,কিছু
a black look,রক্ত চক্ষু
a black sheep,কুলাঙ্গার
a bon marche,সস্তায়
a close fisted man,কৃপণ
a far cry,অনেক ব্যবধান
a few,থোড়া
a fish out of water,অস্বস্তিকর অবস্থা
a fool's paradise,মূর্খের স্বর্গ
a foregone conclusion,পূর্বেই অনুমিত ফলাফল
a gala day,আনন্দের দিন
a going concern,লাভজনক প্রতিষ্ঠান বা ব্যবসা
a hard nut to crack,কঠিন সমস্যা
a heart of stone,পাষাণহৃদয়
a household word,অতি পরিচিত
a jail bird,জেল ঘুঘু
a jaundiced eye,বিদ্বেষ ভরা চোখ বা মন
a kind of penance,এক প্রকার প্রায়শ্চিত্ত
a laughing stock,হাস্যকর ব্যাপার বা ব্যক্তি
a letter of acceptance,স্বীকৃতিপত্র
a lift in the lute,মতবিরোধ
a limb of law,আইনজীবী
a little boy,পোঁটা
a lot,প্রচুর পরিমানে
a man in the street,সাধারণ ব্যক্তি
a man of letters,পন্ডিত ব্যক্তি
a man of parts,গুণান্বিত ব্যক্তি
a man of word,এক কথার মানুষ
a means of,মাধ্যম
a measure of time,অনুপল
a meat tea,সান্ধ্যভোজ
a name of shiva,কেদার
a narrow escape,অল্পের জন্য বেঁচে যাওয়া
a piece of cake,সহজলভ্য
a posteriori,আরোহী
a priori,অবরোহী
a propos,প্রাসঙ্গিক
a rainy day,দুর্দিন
a riot of,প্রাচুর্য
a running blow,অবিশ্রান্ত
a sharp look out,সতর্ক নজর
a single combat,মল্লযুদ্ধ
a sleeping partner,অর্থ প্রদানকারী নিষ্ক্রিয় ব্যক্তি
a slow coach,অলস ব্যক্তি
a square meal,ভরপেট আহার
a stone's throw,সন্নিকটে
a whale of a,অঢেল
a white elephant,গরীবের হাতি পোষার মত ব্যয় সাধ্য
a white lie,ডাহা মিথ্যা
a young girl,তরুণী
a-,অপ-
a-bomb,পারমানবিক বোমা
a-going,চালু
aal,তার
aardvark,একটি নলাকার ধরণ মুখের এবং একটি দীর্ঘ জিহ্বা দিয়ে স্তন্যপায়ী
ab,এবি
ab invito,অনিচ্ছুকভাবে
ab-,অব-
aba,আরবদের ব্যবহার্য হাতাবিহীন পোশাক বিশেষ
abacas,গণনা যন্ত্রবিশেষ
abaci,গণনা-যন্ত্রবিশেষ
aback,পিছনে
abacterial,অজীবাণুজনিত
abactor,গোরু - চোর
abactors,গোরু-চোর
abacus,স্তম্ভশীর্ষফলক
abacuses,গণনা-যন্ত্রবিশেষ
abaddon,শয়তান
abaft,পিছন দিক থেকে
abalone,ঝিনুক
abalones,ঝিনুক
aband,তার নিজের প্রদেশ কোনটি
abandon,পরিত্যাগ করা
abandoned,পরিত্যক্ত
abandonee,যে বিমাপ্রতিষ্ঠান ধ্বংসপ্রাপ্ত জাহাজাদি উক্ষারের ভার গ্রহণ করে
abandonees,যে বিমাপ্রতিষ্ঠান ধ্বংসপ্রাপ্ত জাহাজাদি উক্ষারের ভার গ্রহণ করে
abandoning,ত্যাগ
abandonment,বিসর্জন
abandonments,বিসর্জন
abandons,বর্জ
abase,হীন করা
abase oneself,নিজেকে হীন করা
abased,নিচের দিকে - নামানো
abasement,অপমান
abasements,হীনতা
abaser,সর্বাধিক সম্ভ্রান্ত যে সর্বাধিক
abases,হীন করা
abash,কুণ্ঠিত করা
abashed,লজ্জিত
abashes,অপ্রতিভ করা
abashing,অপ্রতিভ করা
abashment,বিভ্রান্তি
abashments,বিভ্রান্তি
abasing,হীন করা
abat-vent,জানালার খড়খড়িবিশেষ
abate,ক্ষীণ করা
abated,কমান
abatement,উপশম
abatements,উপশম
abates,কমান
abating,কমান
abatis,কর্তিত বৃদ্ধনির্মিত প্রতিরোধ - বূ্যহ
abatises,কর্তিত বৃদ্ধনির্মিত প্রতিরোধ-বূ্যহ
abattoir,কসাইখানা
abattoirs,কসাইখানা
abb,পড়েন
abba,পরম পিতা
abbacies,মঠাধ্যক্ষের পদ
abbacy,মঠাধ্যক্ষের এলাকা
abbas,আব্বাস
abbass,এর উপযুক্ত
abbatial,মঠসংক্রান্ত
abbe,ফরাসী ধর্মযাজক বিশেষ
abbess,মঠাধ্যক্ষ
abbesses,মঠাধ্যক্ষ
abbey,মঠ
abbeys,মঠ
abbot,মঠাধ্যক্ষ
abbots,মঠাধ্যক্ষ
abbotship,"মঠাধ্যক্ষ
abbreviate,সংক্ষিপ্ত করা
abbreviated,সংক্ষিপ্ত
abbreviates,ছোট করা
abbreviating,কাটছাঁট
abbreviation,সংক্ষেপ
abbreviations,বর্ণমালা
abbs,পড়েন
abc,বর্ণমালা
abdicate,অস্বীকার করা
abdicated,ত্যাগ করা
abdicates,ত্যাগ করা
abdicating,ত্যাগ করা
abdication,পদত্যাগ
abdications,পরিত্যাগ
abdomen,পেট
abdomens,উদর
abdomina,উদর
abdominal,পেটের
abdominous,নাদাপেটা
abducent,সঙ্কোচনশীল
abduct,অপহরণ করা
abducted,অপহরণ
abductee,এরকম
abducting,অপহারক
abduction,অপহরণ
abductions,অপহরণ
abductor,তস্কর
abductores,চোর
abductors,অপহরণকারীরা
abducts,অপহরণ
abdullah,আল্লাহ্র বান্দা
abeam,জাহাজের দৈর্ঘ্যের সমকোণে
abecedarian,প্রাথমিক
abecedarians,প্রাথমিক শিক্ষার্থী
abed,শয্যায়
aberrance,বিচ্যুতির ঘটনা
aberrancy,বিচ্যুতির অবস্থা
aberrant,বিপথগামী
aberrantly,হাস্যকর রকমের ব্যাখ্যাটি
aberrate,বিপথগামী হত্তয়া
aberrated,বিপথগামী হত্তয়া
aberrates,বিপথগামী হত্তয়া
aberrating,বিপথগামী হত্তয়া
aberration,স্খলন
aberrational,কাসাস:
aberrations,স্খলন
abet,ঢাকা দেত্তয়া
abetment,আনুকূল্য
abetments,বিবাদসৃষ্টির স্বভাব
abets,সহায়তা করিলে
abetted,সাহায্য করা
abetter,কুকর্মে সাহায্যকারী
abetters,মানববন্ধনে বাধা দিলে পরিণতি
abetting,পোষক
abettor,পোষক
abettors,মৌল
abeyance,স্থগিতাবস্থা
abeyances,স্থগিতাবস্থা
abhor,ঘৃণাসহকারে পরিহার
abhorred,ঘৃণাসহকারে পরিহার করা
abhorrence,ন্যক্কার
abhorrences,ঘৃণাসহকারে পরিহার
abhorrent,জঘন্য
abhorring,ঘৃণাসহকারে পরিহার করা
abhors,চরমভাবে ঘৃণা
abid,"প্রতীক্ষা করা
abidance,পালন
abidances,পালন
abide,বরদাস্ত করা
abide by,মানিয়া চলা
abided,আনুষ্ঠানিক কোনো সভা
abides,মানছে
abiding,মান্যকারী
abidingly,স্থায়িভাবে
abidjan,আবিদজান
abigail,সম্ভ্রান্ত মহিলার পরিচারিকা
abilities,ক্ষমতা
ability,ক্ষমতা
ability to work,কর্মক্ষমতা
abiogeneses,অজীবজনি
abiogenesis,অজীবজনি
abiotic,জীবক্রিয়া
abject,শোচনীয়
abjected,নীচ
abjecting,নীচ
abjection,অপমান
abjections,হীনতা
abjectly,শোচনীয়ভাবে
abjectness,দুর্দশাকে
abjects,নীচ
abjuration,শপথপূর্বক পরিত্যাগ
abjure,শপথপূর্বক পরিত্যাগ করা
abjured,ত্যাগ
abjures,শপথপূর্বক পরিত্যাগ করা
abjuring,শপথপূর্বক পরিত্যাগ করা
abkhazia,আবখাজিয়া
ablate,কেড়ে নেত্তয়া
ablated,কেড়ে নেত্তয়া
ablates,কেড়ে নেত্তয়া
ablating,কেড়ে নেত্তয়া
ablation,অপসারণ
ablations,অপসারণ
ablative,অপাদান
ablatives,পঁচমী বিভক্তি
ablaut,অপশ্রুতি
ablauts,অপশ্রুতি
ablaze,বহ্নিমান
able,সক্ষম
able of making evil,বিকৃত করিতে সক্ষম
able to work,কর্মী
able-bodied,সুস্থ
abled,সক্ষম
abler,সক্ষম
ables,সক্ষম
ablest,মনোযোগের মাত্রা তীব্রতর
abling,সক্ষম
abloom,প্রস্ফুটিত
ablush,সলজ্জ
ablution,ডুব
ablutions,ডুব
ably,দক্ষতার সহিত
abnegate,পরিত্যাগ করা
abnegated,বঁচিত করা
abnegates,বঁচিত করা
abnegating,বঁচিত করা
abnegation,অস্বীকার
abnegations,অস্বীকার
abnormal,অস্বাভাবিক
abnormal creature,বিকটাকার প্রাণী
abnormalcy,অস্বাভাবিকতা
abnormalities,অস্বাভাবিকতা
abnormality,অস্বাভাবিকতা
abnormally,অস্বাভাবিক
abnormals,অস্বাভাবিক
abnormities,অস্বাভাবিকতা
abnormity,অস্বাভাবিকতা
aboard,জাহাজের উপরে
abode,আবাস
abode of gods,অমরধাম
abodes,ঘর
aboil,উত্তাপাদিতে ফুটন্ত অবস্থায়
abolionist,বাতিল করা
abolish,বাতিল করা
abolished,রহিত
abolisher,বাতিল
abolishes,রহিত করা
abolishing,বদলের
abolishment,রদ
abolishments,রদ
abolition,রদ
abolitionist,মৃত্যুদণ্ডবিলোপপন্থী
abolitions,রদ
abominable,জঘন্য
abominable habit,কদাচার
abominable practice,কদাচার
abominate,ঘৃণায় পরিহার করা
abominated,ঘৃণায় পরিহার করা
abominates,ঘৃণায় পরিহার করা
abominating,ঘৃণায় পরিহার করা
abomination,কদর্যতা
abominations,কদর্যতা
aboral,পরাঙ্মুখ
abord,নৌরুটে
aborigen,আদিবাসী
aboriginal,আদিবাসী
aboriginally,দুইজন করে প্রতিনিধি সংলাপে
aboriginals,প্রাসঙ্গিক
aborigine,আদিম অধিবাসী
aborigines,আদিবাসী
aborignal,দেশীয়
abort,গর্ভপাত করান
